date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Hillsdale County,Michigan,MI,East North Central,Midwest,MI-059
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Allegan County,Michigan,MI,East North Central,Midwest,MI-005
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Allegan County,Michigan,MI,East North Central,Midwest,MI-005
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Bay County,Michigan,MI,East North Central,Midwest,MI-017
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Bay County,Michigan,MI,East North Central,Midwest,MI-017
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Gratiot County,Michigan,MI,East North Central,Midwest,MI-057
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Gratiot County,Michigan,MI,East North Central,Midwest,MI-057
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,Michigan,MI,East North Central,Midwest,MI-037
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Clinton County,Michigan,MI,East North Central,Midwest,MI-037
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Eaton County,Michigan,MI,East North Central,Midwest,MI-045
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Eaton County,Michigan,MI,East North Central,Midwest,MI-045
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Branch County,Michigan,MI,East North Central,Midwest,MI-023
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Branch County,Michigan,MI,East North Central,Midwest,MI-023
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Kalamazoo County,Michigan,MI,East North Central,Midwest,MI-077
1980-05-16,1980-05-16,DR,Tornado,Severe Storms & Tornadoes,0.0,Kalamazoo County,Michigan,MI,East North Central,Midwest,MI-077
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Kalamazoo County,Michigan,MI,East North Central,Midwest,MI-077
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Kent County,Michigan,MI,East North Central,Midwest,MI-081
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Kent County,Michigan,MI,East North Central,Midwest,MI-081
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Lenawee County,Michigan,MI,East North Central,Midwest,MI-091
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Lenawee County,Michigan,MI,East North Central,Midwest,MI-091
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Monroe County,Michigan,MI,East North Central,Midwest,MI-115
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Monroe County,Michigan,MI,East North Central,Midwest,MI-115
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Ottawa County,Michigan,MI,East North Central,Midwest,MI-139
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Ottawa County,Michigan,MI,East North Central,Midwest,MI-139
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Montcalm County,Michigan,MI,East North Central,Midwest,MI-117
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Montcalm County,Michigan,MI,East North Central,Midwest,MI-117
